"Obs","doby","ncharts_reprate","count_PctSum_10_count"
"1","1936-1945","0-50%",9.849
"2","1946-1955","0-50%",8.877
"3","1956-1965","0-50%",7.894
"4","1966-1975","0-50%",9.117
"5","1976-1985","0-50%",10.040
"6","1986-1995","0-50%",10.193
"7","1996-2005","0-50%",11.962
"8","2006-2015","0-50%",11.835
"9","1936-1945","50-75%",10.204
"10","1946-1955","50-75%",10.135
"11","1956-1965","50-75%",9.834
"12","1966-1975","50-75%",12.050
"13","1976-1985","50-75%",12.247
"14","1986-1995","50-75%",12.861
"15","1996-2005","50-75%",12.695
"16","2006-2015","50-75%",12.947
"17","1936-1945","75-80%",2.414
"18","1946-1955","75-80%",2.346
"19","1956-1965","75-80%",2.371
"20","1966-1975","75-80%",2.956
"21","1976-1985","75-80%",2.918
"22","1986-1995","75-80%",3.033
"23","1996-2005","75-80%",3.024
"24","2006-2015","75-80%",2.869
"25","1936-1945","80-85%",2.497
"26","1946-1955","80-85%",2.622
"27","1956-1965","80-85%",2.608
"28","1966-1975","80-85%",3.145
"29","1976-1985","80-85%",2.957
"30","1986-1995","80-85%",3.122
"31","1996-2005","80-85%",2.993
"32","2006-2015","80-85%",3.060
"33","1936-1945","85-90%",2.239
"34","1946-1955","85-90%",2.591
"35","1956-1965","85-90%",2.680
"36","1966-1975","85-90%",2.732
"37","1976-1985","85-90%",2.963
"38","1986-1995","85-90%",2.797
"39","1996-2005","85-90%",2.799
"40","2006-2015","85-90%",2.903
"41","1936-1945","90-95%",2.608
"42","1946-1955","90-95%",2.692
"43","1956-1965","90-95%",2.778
"44","1966-1975","90-95%",2.705
"45","1976-1985","90-95%",3.046
"46","1986-1995","90-95%",3.033
"47","1996-2005","90-95%",2.871
"48","2006-2015","90-95%",3.105
"49","1936-1945","95-100%",2.453
"50","1946-1955","95-100%",2.883
"51","1956-1965","95-100%",2.620
"52","1966-1975","95-100%",2.816
"53","1976-1985","95-100%",2.892
"54","1986-1995","95-100%",2.829
"55","1996-2005","95-100%",2.686
"56","2006-2015","95-100%",2.934
"57","1936-1945","100-150%",20.989
"58","1946-1955","100-150%",24.504
"59","1956-1965","100-150%",24.020
"60","1966-1975","100-150%",24.341
"61","1976-1985","100-150%",24.686
"62","1986-1995","100-150%",23.583
"63","1996-2005","100-150%",23.012
"64","2006-2015","100-150%",23.088
"65","1936-1945","150-200%",14.396
"66","1946-1955","150-200%",14.787
"67","1956-1965","150-200%",16.184
"68","1966-1975","150-200%",14.434
"69","1976-1985","150-200%",13.333
"70","1986-1995","150-200%",13.246
"71","1996-2005","150-200%",13.570
"72","2006-2015","150-200%",13.436
"73","1936-1945","200%+",32.352
"74","1946-1955","200%+",28.565
"75","1956-1965","200%+",29.011
"76","1966-1975","200%+",25.704
"77","1976-1985","200%+",24.919
"78","1986-1995","200%+",25.303
"79","1996-2005","200%+",24.387
"80","2006-2015","200%+",23.823
"81","1936-1945",,100.000
"82","1946-1955",,100.000
"83","1956-1965",,100.000
"84","1966-1975",,100.000
"85","1976-1985",,100.000
"86","1986-1995",,100.000
"87","1996-2005",,100.000
"88","2006-2015",,100.000

