"Obs","doby","male","raceeth","lifetime_earn","slifetime_earn","weight"
"1",1936,0,2,756847.52,373157.83,2.50983
"2",1936,0,3,1716391.42,1614925.46,2.50983
"4",1936,0,1,4170535.04,2015649.53,2.50983
"10",1936,0,1,1567565.71,835861.76,2.50983
"11",1936,0,1,807807.63,1066738.44,2.50983
"15",1936,0,1,308317.87,1871946.75,2.50983
"16",1936,0,1,94769.98,2213862.28,2.50983
"17",1936,0,1,94769.98,2213862.28,2.50983
"18",1936,0,1,94769.98,2213862.28,2.50983
"19",1936,0,2,824303.62,373157.83,2.50983
"20",1936,0,2,824303.62,285159.54,2.50983
"21",1936,0,2,824303.62,373157.83,2.50983
"23",1936,0,1,875389.91,3958930.33,2.50983
"25",1936,0,1,875389.91,3958930.33,2.50983
"26",1936,0,2,119829.42,509954.33,2.50983
"28",1936,0,1,275233.34,1828994.90,2.50983
"30",1936,0,1,275233.34,1828994.90,2.50983
"32",1936,0,1,275233.34,1828994.90,2.50983
"34",1936,0,1,206288.31,2349699.81,2.50983
"35",1936,0,1,206288.31,2349699.81,2.50983
"36",1936,0,1,754500.57,1019462.81,2.50983
"38",1936,0,1,1088130.25,1559347.15,2.50983
"39",1936,0,1,78030.03,690417.69,2.50983
"41",1936,0,1,94769.98,1136087.25,2.50983
"42",1936,0,1,233509.65,2345022.72,2.50983
"44",1936,0,1,910998.05,1522266.91,2.50983
"45",1936,0,1,910998.05,1197469.86,2.50983
"46",1936,0,1,592947.45,4311344.08,2.50983
"47",1936,0,1,900617.60,2093099.12,2.50983
"49",1936,0,1,312288.35,3156321.34,2.50983
"51",1936,0,2,1688976.60,1314742.03,2.50983
"52",1936,0,2,1688976.60,657476.17,2.50983
"53",1936,0,2,1688976.60,657476.17,2.50983
"54",1936,0,1,754500.57,2296510.52,2.50983
"58",1936,0,1,121932.43,4328538.28,2.50983
"60",1936,0,1,121932.43,4328538.28,2.50983
"64",1936,0,2,87266.44,1272471.56,2.50983
"65",1936,0,1,341419.22,2780042.64,2.50983
"66",1936,0,1,115236.45,371399.71,2.50983
"67",1936,0,3,806629.94,1704109.85,2.50983
"68",1936,0,3,806629.94,1013414.56,2.50983
"69",1936,0,2,87552.45,2845858.40,2.50983
"70",1936,0,2,87552.45,1946855.91,2.50983
"71",1936,0,2,87552.45,1141698.08,2.50983
"72",1936,0,1,927123.92,1351468.97,2.50983
"73",1936,0,1,927123.92,1281135.95,2.50983
"74",1936,0,2,3768.59,934820.93,2.50983
"75",1936,0,2,3768.59,854258.88,2.50983
"76",1936,0,2,2414035.05,132279.23,2.50983
"78",1936,0,3,775101.64,1456762.40,2.50983
"79",1936,0,3,775101.64,2346183.58,2.50983
"80",1936,0,3,775101.64,844500.92,2.50983
"82",1936,0,1,737760.62,2734441.01,2.50983
"85",1936,0,3,308317.87,119854.66,2.50983
"87",1936,0,3,0.00,614759.86,2.50983
"88",1936,0,3,0.00,314677.37,2.50983
"90",1936,0,1,1166227.57,3148271.02,2.50983
"91",1936,0,1,1166227.57,780005.85,2.50983
"94",1936,0,1,472907.73,661379.35,2.50983
"95",1936,0,3,926005.11,0.00,2.50983
"96",1936,0,1,0.00,494568.71,2.50983
"97",1936,0,1,206288.31,1337311.52,2.50983
"98",1936,0,1,1169567.15,1420582.24,2.50983
"100",1936,0,2,340653.73,1495087.63,2.50983
"104",1936,0,1,636345.14,1081350.15,2.50983
"106",1936,0,1,288886.07,3909602.16,2.50983
"108",1936,0,2,42935.02,685631.24,2.50983
"110",1936,0,3,737760.62,1565445.88,2.50983
"111",1936,0,1,9547.66,142222.26,2.50983
"112",1936,0,1,1045632.65,965104.25,2.50983
"114",1936,0,1,19347.68,1862954.29,2.50983
"115",1936,0,1,19347.68,3274056.17,2.50983
"116",1936,0,1,1567565.71,2049533.20,2.50983
"117",1936,0,1,1567565.71,7006181.23,2.50983
"118",1936,0,1,1567565.71,1365037.58,2.50983
"120",1936,0,1,196496.70,1453498.53,2.50983
"124",1936,0,1,206288.31,378894.84,2.50983
"128",1936,0,1,341419.22,0.00,2.50983
"135",1936,0,1,206288.31,986756.82,2.50983
"136",1936,0,1,1045632.65,1522939.87,2.50983
"137",1936,0,1,1045632.65,992796.66,2.50983
"142",1936,0,1,592947.45,2090508.22,2.50983
"143",1936,0,1,592947.45,2090508.22,2.50983
"145",1936,0,1,206288.31,2048540.58,2.50983
"146",1936,0,1,349789.20,766403.59,2.50983
"150",1936,0,3,659023.98,1696883.91,2.50983
"151",1936,0,3,659023.98,1696883.91,2.50983
"152",1936,0,1,442986.12,931674.83,2.50983
"154",1936,0,1,672727.18,630212.76,2.50983
"155",1936,0,1,672727.18,548456.20,2.50983
"156",1936,0,4,0.00,2338040.73,2.50983
"157",1936,0,4,0.00,1301038.83,2.50983
"158",1936,0,4,0.00,1299894.79,2.50983
"160",1936,0,1,142592.39,1484143.57,2.50983
"161",1936,0,1,142592.39,1655799.54,2.50983
"176",1936,0,2,768674.84,534803.47,2.50983
"177",1936,0,2,768674.84,245141.74,2.50983
"178",1936,0,1,121301.53,1958952.42,2.50983
"179",1936,0,1,121301.53,1958952.42,2.50983
"183",1936,0,1,667091.12,1177213.69,2.50983
"184",1936,0,1,257088.58,1752176.21,2.50983
"186",1936,0,1,325756.02,1823384.08,2.50983
"187",1936,0,1,892390.63,715897.74,2.50983
"188",1936,0,1,892390.63,1178189.48,2.50983
"192",1936,0,3,14157.45,305996.15,2.50983
"194",1936,0,3,14157.45,497941.94,2.50983
"196",1936,0,3,14157.45,517138.20,2.50983
"198",1936,0,1,87266.44,1198361.54,2.50983
"200",1936,0,1,966912.84,0.00,2.50983
"201",1936,0,1,966912.84,0.00,2.50983
"202",1936,0,1,966912.84,0.00,2.50983
"206",1936,0,1,737760.62,2187978.46,2.50983
"207",1936,0,1,2103664.64,937125.82,2.50983
"208",1936,0,4,243657.26,183487.23,2.50983
"209",1936,0,1,636345.14,2721923.90,2.50983
"210",1936,0,1,636345.14,2721923.90,2.50983
"211",1936,0,1,636345.14,2721923.90,2.50983
"212",1936,0,1,636345.14,2721923.90,2.50983
"213",1936,0,1,636345.14,2721923.90,2.50983
"214",1936,0,1,636345.14,2721923.90,2.50983
"215",1936,0,1,636345.14,2721923.90,2.50983
"219",1936,0,1,83767.03,1211114.18,2.50983
"220",1936,0,1,83767.03,1055516.79,2.50983
"226",1936,0,1,748141.07,3062257.97,2.50983
"227",1936,0,1,748141.07,1336756.32,2.50983
"228",1936,0,1,94971.86,2328013.59,2.50983
"229",1936,0,1,94971.86,1295394.35,2.50983
"230",1936,0,1,94971.86,1388254.80,2.50983
"231",1936,0,1,927123.92,2370822.43,2.50983
"232",1936,0,1,927123.92,1802597.94,2.50983
"233",1936,0,1,829325.61,2349699.81,2.50983
"237",1936,0,1,186385.44,1627232.27,2.50983
"242",1936,0,1,756628.81,2729562.03,2.50983
"243",1936,0,2,451759.87,1235256.72,2.50983
"244",1936,0,1,1656783.74,2250942.53,2.50983
"245",1936,0,1,94971.86,3540709.23,2.50983
"250",1936,0,2,348947.99,882607.43,2.50983
"251",1936,0,2,348947.99,882607.43,2.50983
"252",1936,0,1,1004691.28,1750241.44,2.50983
"255",1936,0,2,636345.14,701361.75,2.50983
"258",1936,0,1,164101.96,1202054.42,2.50983
"259",1936,0,1,996363.37,254758.45,2.50983
"260",1936,0,1,206288.31,2036469.31,2.50983
"270",1936,0,1,152653.18,159416.46,2.50983
"271",1936,0,1,1217633.51,1585020.68,2.50983
"273",1936,0,1,1022230.37,1491411.57,2.50983
"274",1936,0,1,1022230.37,1303125.01,2.50983
"275",1936,0,1,1022230.37,1496988.75,2.50983
"276",1936,0,1,1029481.54,1606134.89,2.50983
"277",1936,0,2,186385.44,467137.07,2.50983
"278",1936,0,1,284377.22,2813497.30,2.50983
"281",1936,0,4,303792.20,1302948.36,2.50983
"287",1936,0,1,1045632.65,1282263.17,2.50983
"288",1936,0,1,193821.68,682592.31,2.50983
"290",1936,0,1,1166227.57,83548.32,2.50983
"293",1936,0,2,78030.03,296633.55,2.50983
"294",1936,0,2,78030.03,3371030.09,2.50983
"295",1936,0,2,80175.10,912772.99,2.50983
"296",1936,0,2,80175.10,912772.99,2.50983
"300",1936,0,1,184475.91,484230.33,2.50983
"301",1936,0,3,82362.22,377658.27,2.50983
"303",1936,0,1,209569.00,1448476.55,2.50983
"304",1936,0,1,206288.31,479208.34,2.50983
"307",1936,0,1,425354.50,351942.68,2.50983
"310",1936,0,1,1022230.37,2349699.81,2.50983
"314",1936,0,1,164101.96,2790616.57,2.50983
"315",1936,0,2,2049760.32,217745.50,2.50983
"316",1936,0,2,2049760.32,611260.45,2.50983
"317",1936,0,2,2049760.32,825119.59,2.50983
"318",1936,0,1,9337.36,3603471.42,2.50983
"319",1936,0,1,1022230.37,957583.89,2.50983
"320",1936,0,3,47216.75,283665.68,2.50983
"321",1936,0,3,47216.75,283665.68,2.50983
"322",1936,0,3,47216.75,283665.68,2.50983
"325",1936,0,1,78030.03,373157.83,2.50983
"326",1936,0,1,78030.03,309823.62,2.50983
"327",1936,0,1,78030.03,378247.11,2.50983
"328",1936,0,1,303607.13,1694764.08,2.50983
"330",1936,0,1,236092.15,1048231.97,2.50983
"331",1936,0,1,771383.52,1177541.76,2.50983
"332",1936,0,1,771383.52,1177541.76,2.50983
"333",1936,0,1,1271748.12,4146392.50,2.50983
"334",1936,0,1,1271748.12,4146392.50,2.50983
"335",1936,0,1,233072.23,1728286.03,2.50983
"340",1936,0,4,2466862.62,3629102.88,2.50983
"341",1936,0,1,191314.89,2424339.79,2.50983
"349",1936,0,1,1217633.51,1476126.90,2.50983
"354",1936,0,1,454847.09,582651.12,2.50983
"355",1936,0,1,454847.09,582651.12,2.50983
"357",1936,0,3,149565.96,320355.49,2.50983
"359",1936,0,1,753911.72,1006230.68,2.50983
"360",1936,0,1,753911.72,893795.44,2.50983
"361",1936,0,1,928133.36,1124680.53,2.50983
"364",1936,0,1,808236.64,1940361.82,2.50983
"366",1936,0,1,808236.64,1940361.82,2.50983
"368",1936,0,1,808236.64,1940361.82,2.50983
"369",1936,0,1,962244.16,658864.15,2.50983
"370",1936,0,1,962244.16,658864.15,2.50983
"372",1936,0,1,4041267.31,630532.42,2.50983
"374",1936,0,2,79283.42,2992749.34,2.50983
"375",1936,0,1,100296.68,2804933.85,2.50983
"380",1936,0,1,588968.56,1247639.23,2.50983
"384",1936,0,1,206288.31,230750.50,2.50983
"385",1936,0,1,206288.31,230750.50,2.50983
"388",1936,0,1,1022230.37,1099663.14,2.50983
"392",1936,0,1,754500.57,850624.88,2.50983
"393",1936,0,1,754500.57,1027117.76,2.50983
"394",1936,0,1,754500.57,835853.35,2.50983
"396",1936,0,1,1022230.37,4735.98,2.50983
"397",1936,0,1,799361.94,1282540.76,2.50983
"398",1936,0,1,325756.02,1823384.08,2.50983
"399",1936,0,1,555244.72,2437799.04,2.50983
"400",1936,0,1,555244.72,1907950.26,2.50983
"401",1936,0,1,659023.98,854586.95,2.50983
"402",1936,0,1,460432.68,1129517.45,2.50983
"406",1936,0,1,825027.06,2123500.21,2.50983
"409",1936,0,2,608358.30,215767.89,2.50983
"410",1936,0,2,608358.30,83732.61,2.50983
"416",1936,0,2,1169567.15,801591.13,2.50983
"419",1936,0,1,95585.94,1603947.76,2.50983
"421",1936,0,1,164101.96,2571264.37,2.50983
"423",1936,0,1,981692.78,1438785.88,2.50983
"426",1936,0,1,1185070.53,1588427.56,2.50983
"427",1936,0,1,720583.24,1835791.83,2.50983
"430",1936,0,1,457202.46,3461703.41,2.50983
